Date,Series,Value
2017-06-22,Average Tone,-0.7833
2017-06-23,Average Tone,-0.2151
2017-06-24,Average Tone,-0.4573
2017-06-25,Average Tone,-0.6417
2017-06-26,Average Tone,-0.4261
2017-06-27,Average Tone,-3.743
2017-06-28,Average Tone,-3.7681
2017-06-29,Average Tone,-0.6807
2017-06-30,Average Tone,0.1024
2017-07-01,Average Tone,-0.9635
2017-07-02,Average Tone,0.8562
2017-07-03,Average Tone,0.4196
2017-07-04,Average Tone,0.5495
2017-07-05,Average Tone,-1.7328
2017-07-06,Average Tone,0.0583
2017-07-07,Average Tone,-1.0057
2017-07-08,Average Tone,0.3997
2017-07-09,Average Tone,-2.0833
2017-07-10,Average Tone,0.0532
2017-07-11,Average Tone,-0.9339
2017-07-12,Average Tone,0.1261
2017-07-13,Average Tone,0.3797
2017-07-14,Average Tone,-0.7056
2017-07-15,Average Tone,0.3126
2017-07-16,Average Tone,0.2403
2017-07-17,Average Tone,-0.6262
2017-07-18,Average Tone,-0.4119
2017-07-19,Average Tone,-0.2029
2017-07-20,Average Tone,-0.6014
2017-07-21,Average Tone,-0.195
2017-07-22,Average Tone,0.0761
2017-07-23,Average Tone,0.0079
2017-07-24,Average Tone,-0.228
2017-07-25,Average Tone,-0.2606
2017-07-26,Average Tone,-1.9089
2017-07-27,Average Tone,-3.0583
2017-07-28,Average Tone,-1.2493
2017-07-29,Average Tone,-0.8139
2017-07-30,Average Tone,-1.206
2017-07-31,Average Tone,-0.9313
2017-08-01,Average Tone,-0.7781
2017-08-02,Average Tone,-0.1872
2017-08-03,Average Tone,0.0319
2017-08-04,Average Tone,-1.2607
2017-08-05,Average Tone,-1.2047
2017-08-06,Average Tone,-1.5594
2017-08-07,Average Tone,-0.301
2017-08-08,Average Tone,-0.2467
2017-08-09,Average Tone,0.3719
2017-08-10,Average Tone,-0.3059
2017-08-11,Average Tone,-0.0431
2017-08-12,Average Tone,0.5206
2017-08-13,Average Tone,-0.0534
2017-08-14,Average Tone,-0.2099
2017-08-15,Average Tone,0.4484
2017-08-16,Average Tone,0.47
2017-08-17,Average Tone,0.466
2017-08-18,Average Tone,-0.6952
2017-08-19,Average Tone,-0.0206
2017-08-20,Average Tone,0.2533
2017-08-21,Average Tone,0.2917
2017-08-22,Average Tone,0.4401
2017-08-23,Average Tone,0.3843
2017-08-24,Average Tone,0.7742
2017-08-25,Average Tone,-0.1123
2017-08-26,Average Tone,-0.5467
2017-08-27,Average Tone,0.5831
2017-08-28,Average Tone,0.7852
2017-08-29,Average Tone,0.2137
2017-08-30,Average Tone,0.2135
2017-08-31,Average Tone,-0.5436
2017-09-01,Average Tone,-0.4574
2017-09-02,Average Tone,-0.1486
2017-09-03,Average Tone,-0.5452
2017-09-04,Average Tone,-0.8482
2017-09-05,Average Tone,-0.8107
2017-09-06,Average Tone,-0.2721
2017-09-07,Average Tone,-0.4521
2017-09-08,Average Tone,-0.3376
2017-09-09,Average Tone,-1.8262
2017-09-10,Average Tone,0.329
2017-09-11,Average Tone,-0.7407
2017-09-12,Average Tone,-0.5434
2017-09-13,Average Tone,-1.129
2017-09-14,Average Tone,-1.0164
2017-09-15,Average Tone,-1.4695
2017-09-16,Average Tone,-0.2034
2017-09-17,Average Tone,0.2256
2017-09-18,Average Tone,-0.4672
2017-09-19,Average Tone,-0.0699
2017-09-20,Average Tone,-0.1122
2017-09-21,Average Tone,0.3389
2017-09-22,Average Tone,0.4002
2017-09-23,Average Tone,-0.565
2017-09-24,Average Tone,0.8831
2017-09-25,Average Tone,-0.0633
2017-09-26,Average Tone,0.1776
2017-09-27,Average Tone,0.2636
2017-09-28,Average Tone,0.1803
2017-09-29,Average Tone,-0.8453
2017-09-30,Average Tone,-0.2395
2017-10-01,Average Tone,-2.7375
2017-10-02,Average Tone,-0.2541
2017-10-03,Average Tone,0.175
2017-10-04,Average Tone,-0.623
2017-10-05,Average Tone,-0.3377
2017-10-06,Average Tone,-0.5346
2017-10-07,Average Tone,-0.0167
